date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:19	89521/89521	---M--	200	added ('OK')	application/javascript	date:Wed,%2021%20Jul%202021%2002:18:51%20GMT	https://ctlcompany.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://ctlcompany.com/)
11:28:19	11224/11224	---M--	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2014:36:06%20GMT	https://ctlcompany.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://ctlcompany.com/)
11:28:20	15055/15055	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Aug%202022%2014:10:51%20GMT	https://ctlcompany.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=3.7.3	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min1ac1.js	(from https://ctlcompany.com/)
11:28:20	108/108	---MC-	403	error ('Forbidden')	application/json	date:Fri,%2014%20Oct%202022%2016:28:19%20GMT	https://ctlcompany.com/wp-json/	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-json/index.html	(from https://ctlcompany.com/)
11:28:20	110/110	---MC-	401	error ('Unauthorized')	application/json	date:Fri,%2014%20Oct%202022%2016:28:19%20GMT	https://ctlcompany.com/wp-json/wp/v2/pages/60	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-json/wp/v2/pages/60.1c.delayed	(from https://ctlcompany.com/)
11:28:21	83/83	---M--	409	error ('Conflict')	text/html	date:Fri,%2014%20Oct%202022%2016:28:20%20GMT	https://ctlcompany.com/xmlrpc.php?rsd	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/xmlrpc.1d0db0.delayed	(from https://ctlcompany.com/)
11:28:22	108/108	---MC-	403	error ('Forbidden')	application/json	date:Fri,%2014%20Oct%202022%2016:28:21%20GMT	https://ctlcompany.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fctlcompany.com%2F	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-json/oembed/1.0/embed.1f2375.delayed	(from https://ctlcompany.com/)
11:28:23	108/108	---MC-	403	error ('Forbidden')	application/json	date:Fri,%2014%20Oct%202022%2016:28:22%20GMT	https://ctlcompany.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fctlcompany.com%2F&format=xml	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-json/oembed/1.0/embed.207ea6.delayed	(from https://ctlcompany.com/)
11:28:24	6677/6677	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Aug%202021%2018:26:02%20GMT	https://ctlcompany.com/wp-content/uploads/2021/08/logo2.jpg	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2021/08/logo2.jpg	(from https://ctlcompany.com/)
11:28:24	68/68	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2014:11:01%20GMT	https://ctlcompany.com/wp-content/plugins/gumlet/assets/images/pixel.png	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/plugins/gumlet/assets/images/pixel.png	(from https://ctlcompany.com/)
11:28:25	9738/9738	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Aug%202021%2018:28:16%20GMT	https://ctlcompany.com/wp-content/uploads/2021/08/cropped-logo-1.png	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2021/08/cropped-logo-1.png	(from https://ctlcompany.com/)
11:28:27	73954/73954	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Jan%202022%2013:03:43%20GMT	https://ctlcompany.com/wp-content/uploads/2022/01/categoria.jpg	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2022/01/categoria.jpg	(from https://ctlcompany.com/)
11:28:27	156632/156632	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2016:28:26%20GMT	https://ctlcompany.com/nosotros/	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/nosotros/index.html	(from https://ctlcompany.com/)
11:28:27	133608/133608	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2016:28:26%20GMT	https://ctlcompany.com/blog/	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/blog/index.html	(from https://ctlcompany.com/)
11:28:27	141156/141156	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2016:28:26%20GMT	https://ctlcompany.com/productos/	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/productos/index.html	(from https://ctlcompany.com/)
11:28:28	168047/168047	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2016:28:27%20GMT	https://ctlcompany.com/contacto/	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/contacto/index.html	(from https://ctlcompany.com/)
11:28:28	133115/133115	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2016:28:27%20GMT	https://ctlcompany.com/privacy-policy/	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/privacy-policy/index.html	(from https://ctlcompany.com/)
11:28:29	126216/126216	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2016:01:36%20GMT	https://ctlcompany.com/wp-content/uploads/2022/01/Microoscopio1-e1642694496869.png	C:/Users/LENOVO/Documents/ctlcompany/ctlFullWebPage/ctlcompany.com/wp-content/uploads/2022/01/Microoscopio1-e1642694496869.png	(from https://ctlcompany.com/)
